Designator	Quantity	MF	MP	Description	Value	Package	Type	Instructions	HelpURL	System

"C1, C2, C3, C4, C5, C6, C7, C9, C10, C11, C12, C13, C14, C15"	"14"	"Murata"	"GCM155R71H104KE02D"	"GCM155R71H104KE02D, „ип 0402 X7R 0.1uF +10% 50V, онденсатор"	"0.1u"	"0402"	"SMD"	""	""	""
"CAN1, CAN2, TARGET SWD"	"3"	"JST Sales"	"SM04B-GHS-TB(LF)(SN)"	"Connector Header Surface Mount, Right Angle 4 position 0.049 _1.25mm_"	""	"None"	"SMD"	""	"http://www.farnell.com/datasheets/2082975.pdf"	"Connector"
"CAN3"	"1"	"Molex"	"502585-0670"	"1.50mm Pitch, CLIK-Mate PCB Receptacle, Single Row, Surface Mount, Right-Angle, Tin Plating, Positive Lock, 6 Circuits, Natural"	""	"None"	"SMD"	""	""	"Connector"
"D1"	"1"	"Taiwan Semiconductor"	"SMAJ5.0"	"400W, 6.9V, 10%, Unidirectional, TVS"	""	"DO-214AC-2 Taiwan Semiconductor"	"SMD"	""	""	""
"D3"	"1"	""	"SS16"	"Diode Schottky 60V 1A Surface Mount SMA"	""	"SMA-2"	"SMD"	"DNP"	""	""
"DD1"	"1"	"STM"	"STM32F103T8U6"	"STM32F103T8U6, ћикроконтроллер 32BIT ARM 64K FLASH [VFQFPN-36]"	""	"VFQFPN-36"	"SMD"	""	"http://www.st.com/stonline/products/literature/ds/13587.pdf"	""
"DEBUG"	"1"	"JST Sales"	"SM06B-SRSS-TB_LF__SN_"	"Connector Header Surface Mount, Right Angle 6 position 0.039 _1.00mm_"	""	"None"	"SMD"	""	"https://www.farnell.com/datasheets/2082363.pdf"	""
"J1"	"1"	"CUI Devices"	"UJ31-CH-31N-SMT-TR"	"Type C, USB 3.1 Gen 2, 5 A, Right Angle, Surface Mount _SMT_, USB Receptacle"	""	"None"	"SMT"	""	"https://www.chipdip.ru/product1/8002862225"	"Connector"
"LED1, LED2"	"2"	""	"LTST-C19HE1WT"	"Blue/Green/Red"	""	""	"SMD"	""	"https://static.chipdip.ru/lib/039/DOC013039662.pdf"	""
